algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_jigsaw,perf_autoencoder,perf_class_object,perf_room_layout,perf_class_scene,perf_normal
OURS,83.27,1.0,0.0,0.33,153.02,3,0.0004,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
RLS,1157.93,0.8,0.2,0.27,246.12,9,0.0039,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
FFD,1068.07,0.8,0.2,0.27,230.72,10,0.0027,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
DRS,135.88,1.0,0.0,0.33,239.9,9,0.0034,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
LEGO,50.61,1.0,0.0,0.33,230.72,10,0.0019,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
GREEDY,1118.69,0.8,0.2,0.27,230.72,10,0.0036,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
PSO,50.61,1.0,0.0,0.33,230.72,10,0.0019,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
STATIC,534.97,0.9,0.1,0.3,102.06,5,0.0006,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
RESOURCE_FIRST,232.23,1.0,0.0,0.33,96.85,5,0.0006,10,0.0896,0.0346,29.4337,-1.1613,5.837,0.2756
ACCURACY_FIRST,534.97,0.9,0.1,0.3,102.06,5,0.0006,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
