algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_jigsaw,perf_autoencoder,perf_class_object,perf_room_layout,perf_class_scene,perf_normal
OURS,52.08,0.9,0.1,0.3,46.06,5,0.0002,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
RLS,623.39,0.3,0.7,0.1,246.12,9,0.0039,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
FFD,1251.68,0.0,1.0,0.0,258.58,5,0.0037,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
DRS,408.81,0.0,1.0,0.0,256.05,8,0.0059,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
LEGO,76.64,1.0,0.0,0.33,230.72,10,0.0023,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
GREEDY,522.89,0.5,0.5,0.17,230.72,10,0.0036,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
PSO,76.72,1.0,0.0,0.33,230.72,10,0.002,10,64.6198,0.5397,50.5474,-0.6269,62.4154,0.5803
STATIC,236.43,0.9,0.1,0.3,89.33,6,0.0007,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
RESOURCE_FIRST,233.35,0.9,0.1,0.3,84.11,6,0.0006,10,0.0896,0.0346,29.4337,-1.1613,5.837,0.2756
ACCURACY_FIRST,236.43,0.9,0.1,0.3,89.33,6,0.0007,10,0.0199,0.5197,39.6148,-0.8631,39.9632,0.5214
